trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:15:00-03:00,5552.0,P2_HIGH,2026-02-02 09:20:00-03:00,5546.5,1.0,5562.0,5546.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10053.0,59.04999999999745,60.95000000000255
2,SHORT,2026-02-03 09:00:00-03:00,5546.5,P1_EMA,2026-02-03 09:05:00-03:00,5537.5,1.0,5556.5,5540.5,TAKE_PROFIT,90.0,2.0,88.0,0 days 00:05:00,10141.0,5.739999999996144,161.04999999999563
3,SHORT,2026-02-04 09:00:00-03:00,5536.0,P1_EMA,2026-02-04 09:10:00-03:00,5530.5,1.0,5546.0,5530.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,10194.0,21.400000000003274,98.59999999999673
4,LONG,2026-02-05 09:00:00-03:00,5541.0,P1_EMA,2026-02-05 09:10:00-03:00,5546.5,1.0,5531.0,5547.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,10247.0,59.76999999999862,75.23000000000138
5,LONG,2026-02-06 09:05:00-03:00,5518.0,P2_LOW,2026-02-06 09:10:00-03:00,5524.0,1.0,5508.0,5524.0,TAKE_PROFIT,60.0,2.0,58.0,0 days 00:05:00,10305.0,22.160000000003492,122.83999999999651
6,LONG,2026-02-10 09:05:00-03:00,5476.5,P2_LOW,2026-02-10 09:25:00-03:00,5482.0,1.0,5466.5,5482.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:20:00,10358.0,24.340000000001965,60.659999999998035
7,SHORT,2026-02-12 09:10:00-03:00,5458.0,P2_HIGH,2026-02-12 10:35:00-03:00,5452.5,1.0,5468.0,5452.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 01:25:00,10411.0,82.13999999999942,97.86000000000058
8,LONG,2026-02-20 09:00:00-03:00,5489.0,P4_RSI,2026-02-20 09:30:00-03:00,5494.5,1.0,5479.0,5495.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:30:00,10464.0,78.58000000000175,66.41999999999825
9,LONG,2026-02-23 09:15:00-03:00,5455.0,P2_AMBIGUOUS_LOW_FIRST,2026-02-23 09:25:00-03:00,5460.5,1.0,5445.0,5461.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,10517.0,3.8699999999971624,76.13000000000284
10,SHORT,2026-02-24 09:00:00-03:00,5442.5,P1_EMA,2026-02-24 09:05:00-03:00,5436.0,1.0,5452.5,5436.5,TAKE_PROFIT,65.0,2.0,63.0,0 days 00:05:00,10580.0,57.04999999999927,72.95000000000073
11,LONG,2026-02-25 09:05:00-03:00,5403.0,P4_RSI,2026-02-25 09:05:00-03:00,5392.5,1.0,5393.0,5409.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,10473.0,198.09000000000196,0.0
12,SHORT,2026-02-26 09:05:00-03:00,5396.0,P2_HIGH,2026-02-26 09:45:00-03:00,5406.5,1.0,5406.0,5390.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:40:00,10366.0,101.81999999999789,53.18000000000211
13,SHORT,2026-02-27 09:00:00-03:00,5403.5,P1_EMA,2026-02-27 09:10:00-03:00,5414.0,1.0,5413.5,5397.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:10:00,10259.0,113.81000000000313,0.0
14,LONG,2026-03-02 09:00:00-03:00,5404.0,P1_EMA,2026-03-02 09:05:00-03:00,5418.0,1.0,5394.0,5410.0,TAKE_PROFIT,140.0,2.0,138.0,0 days 00:05:00,10397.0,58.20999999999913,196.79000000000087
15,SHORT,2026-03-03 09:05:00-03:00,5515.0,P4_RSI,2026-03-03 09:10:00-03:00,5509.5,1.0,5525.0,5509.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10450.0,38.94000000000233,166.05999999999767
16,SHORT,2026-03-04 09:00:00-03:00,5515.0,P1_EMA_DOUBLE,2026-03-04 09:05:00-03:00,5499.0,1.0,5525.0,5509.0,TAKE_PROFIT,160.0,2.0,158.0,0 days 00:05:00,10608.0,45.7300000000032,259.2699999999968
17,LONG,2026-03-05 09:10:00-03:00,5512.0,P2_LOW,2026-03-05 09:15:00-03:00,5501.5,1.0,5502.0,5518.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,10501.0,117.03000000000429,0.0
18,SHORT,2026-03-06 09:10:00-03:00,5573.0,P4_RSI,2026-03-06 09:15:00-03:00,5562.0,1.0,5583.0,5567.0,TAKE_PROFIT,110.0,2.0,108.0,0 days 00:05:00,10609.0,35.56999999999789,219.4300000000021
