trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:05:00-03:00,5543.0,ORB_STRUCT,2026-02-02 11:10:00-03:00,5568.0,1.0,5567.5,,STOP_LOSS,-250.0,2.0,-252.0,0 days 02:05:00,9748.0,264.04999999999745,70.95000000000255
2,SHORT,2026-02-03 09:05:00-03:00,5536.5,ORB_STRUCT,2026-02-03 16:50:00-03:00,5547.5,1.0,5547.0,,STOP_LOSS,-110.0,2.0,-112.0,0 days 07:45:00,9636.0,258.95000000000437,326.04999999999563
3,SHORT,2026-02-04 09:05:00-03:00,5535.5,ORB_STRUCT,2026-02-04 11:40:00-03:00,5538.5,1.0,5538.0,,STOP_LOSS,-30.0,2.0,-32.0,0 days 02:35:00,9604.0,61.400000000003274,253.59999999999673
4,SHORT,2026-02-05 09:05:00-03:00,5536.0,ORB_STRUCT,2026-02-05 09:10:00-03:00,5547.5,1.0,5547.0,,STOP_LOSS,-115.0,2.0,-117.0,0 days 00:05:00,9487.0,125.23000000000138,0.0
5,SHORT,2026-02-06 09:05:00-03:00,5519.5,ORB_STRUCT,2026-02-06 09:55:00-03:00,5538.0,1.0,5537.5,,STOP_LOSS,-185.0,2.0,-187.0,0 days 00:50:00,9300.0,222.8399999999965,2.1600000000034925
6,SHORT,2026-02-09 09:05:00-03:00,5495.0,ORB_STRUCT,2026-02-09 09:05:00-03:00,5498.5,1.0,5498.0,,STOP_LOSS_ENTRY_BAR,-35.0,2.0,-37.0,0 days 00:00:00,9263.0,50.24999999999636,9.750000000003638
7,SHORT,2026-02-10 09:05:00-03:00,5476.0,ORB_STRUCT,2026-02-10 09:35:00-03:00,5487.5,1.0,5487.0,,STOP_LOSS,-115.0,2.0,-117.0,0 days 00:30:00,9146.0,110.65999999999804,19.340000000001965
8,SHORT,2026-02-11 09:05:00-03:00,5462.0,ORB_STRUCT,2026-02-11 09:30:00-03:00,5471.5,1.0,5471.0,,STOP_LOSS,-95.0,2.0,-97.0,0 days 00:25:00,9049.0,101.99999999999818,38.00000000000182
9,SHORT,2026-02-12 09:05:00-03:00,5456.5,ORB_STRUCT,2026-02-12 09:35:00-03:00,5461.0,1.0,5460.5,,STOP_LOSS,-45.0,2.0,-47.0,0 days 00:30:00,9002.0,92.13999999999942,27.860000000000582
10,LONG,2026-02-13 09:05:00-03:00,5502.0,ORB_STRUCT,2026-02-13 09:40:00-03:00,5494.0,1.0,5494.5,,STOP_LOSS,-80.0,2.0,-82.0,0 days 00:35:00,8920.0,77.20000000000255,102.79999999999745
